2026-03-24 15:31:27,076 | INFO | __main__ | Scanning input folder
2026-03-24 15:31:27,077 | INFO | functions.scan_input_folder | Found CSV files in input folder: ['day.csv', 'jonas.csv', 'sample.csv']
2026-03-24 15:31:27,077 | INFO | __main__ | Processing CSV files
2026-03-24 15:31:27,132 | INFO | functions.auto_process_all_csv | Processed day.csv to processed_day.csv (31 rows, 0 removed)
2026-03-24 15:31:27,167 | INFO | functions.auto_process_all_csv | Processed jonas.csv to processed_jonas.csv (5 rows, 1 removed)
2026-03-24 15:31:27,191 | INFO | functions.auto_process_all_csv | Processed sample.csv to processed_sample.csv (5 rows, 3 removed)
2026-03-24 15:31:27,192 | INFO | __main__ | Versioning output files
2026-03-24 15:31:27,195 | INFO | functions.version_output_files | Versioned processed_day.csv to day_20260324_153127.csv
2026-03-24 15:31:27,198 | INFO | functions.version_output_files | Versioned processed_jonas.csv to jonas_20260324_153127.csv
2026-03-24 15:31:27,200 | INFO | functions.version_output_files | Versioned processed_sample.csv to sample_20260324_153127.csv
2026-03-24 15:31:27,200 | INFO | __main__ | Comparing expected vs actual
2026-03-24 15:31:27,222 | INFO | functions.compare_expected_vs_actual | day.csv: 31 rows preserved
2026-03-24 15:31:27,222 | INFO | functions.compare_expected_vs_actual | day.csv: Processing metadata added
2026-03-24 15:31:27,243 | INFO | functions.compare_expected_vs_actual | jonas.csv: 6 -> 5 rows (data cleaning applied)
2026-03-24 15:31:27,244 | INFO | functions.compare_expected_vs_actual | jonas.csv: Processing metadata added
2026-03-24 15:31:27,263 | INFO | functions.compare_expected_vs_actual | sample.csv: 8 -> 5 rows (data cleaning applied)
2026-03-24 15:31:27,263 | INFO | functions.compare_expected_vs_actual | sample.csv: Processing metadata added
2026-03-24 15:31:27,264 | INFO | functions.compare_expected_vs_actual | All comparisons passed
2026-03-24 15:31:27,264 | INFO | __main__ | Committing results
2026-03-24 15:31:31,702 | INFO | functions.commit_results | Results committed and pushed
2026-03-24 15:31:31,703 | INFO | __main__ | Pipeline complete
2026-03-24 15:31:38,719 | INFO | functions.scan_input_folder | Found CSV files in input folder: ['day.csv', 'jonas.csv', 'sample.csv']
2026-03-24 15:32:03,501 | INFO | __main__ | Scanning input folder
2026-03-24 15:32:03,502 | INFO | functions.scan_input_folder | Found CSV files in input folder: ['day.csv', 'jonas.csv', 'sample.csv']
2026-03-24 15:32:03,502 | INFO | __main__ | Processing CSV files
2026-03-24 15:32:03,519 | INFO | functions.auto_process_all_csv | Processed day.csv to processed_day.csv (31 rows, 0 removed)
2026-03-24 15:32:03,528 | INFO | functions.auto_process_all_csv | Processed jonas.csv to processed_jonas.csv (5 rows, 1 removed)
