Value,Label,Group,processed_at,record_id
Africa/Abidjan,Abidjan,Africa,2026-03-24 12:36:00,1
Africa/Accra,Accra,Africa,2026-03-24 12:36:00,2
Africa/Addis_Ababa,Addis Ababa,Africa,2026-03-24 12:36:00,3
Africa/Algiers,Algiers,Africa,2026-03-24 12:36:00,4
Africa/Asmara,Asmara,Africa,2026-03-24 12:36:00,5
Africa/Bamako,Bamako,Africa,2026-03-24 12:36:00,6
Africa/Bangui,Bangui,Africa,2026-03-24 12:36:00,7
Africa/Banjul,Banjul,Africa,2026-03-24 12:36:00,8
Africa/Bissau,Bissau,Africa,2026-03-24 12:36:00,9
Africa/Blantyre,Blantyre,Africa,2026-03-24 12:36:00,10
Africa/Brazzaville,Brazzaville,Africa,2026-03-24 12:36:00,11
Africa/Bujumbura,Bujumbura,Africa,2026-03-24 12:36:00,12
Africa/Cairo,Cairo,Africa,2026-03-24 12:36:00,13
Africa/Casablanca,Casablanca,Africa,2026-03-24 12:36:00,14
Africa/Ceuta,Ceuta,Africa,2026-03-24 12:36:00,15
Africa/Conakry,Conakry,Africa,2026-03-24 12:36:00,16
Africa/Dakar,Dakar,Africa,2026-03-24 12:36:00,17
Africa/Dar_es_Salaam,Dar es Salaam,Africa,2026-03-24 12:36:00,18
Africa/Djibouti,Djibouti,Africa,2026-03-24 12:36:00,19
Africa/Douala,Douala,Africa,2026-03-24 12:36:00,20
Africa/El_Aaiun,El Aaiun,Africa,2026-03-24 12:36:00,21
Africa/Freetown,Freetown,Africa,2026-03-24 12:36:00,22
Africa/Gaborone,Gaborone,Africa,2026-03-24 12:36:00,23
Africa/Harare,Harare,Africa,2026-03-24 12:36:00,24
Africa/Johannesburg,Johannesburg,Africa,2026-03-24 12:36:00,25
Africa/Juba,Juba,Africa,2026-03-24 12:36:00,26
Africa/Kampala,Kampala,Africa,2026-03-24 12:36:00,27
Africa/Khartoum,Khartoum,Africa,2026-03-24 12:36:00,28
Africa/Kigali,Kigali,Africa,2026-03-24 12:36:00,29
Africa/Kinshasa,Kinshasa,Africa,2026-03-24 12:36:00,30
Africa/Lagos,Lagos,Africa,2026-03-24 12:36:00,31
Africa/Libreville,Libreville,Africa,2026-03-24 12:36:00,32
Africa/Lome,Lome,Africa,2026-03-24 12:36:00,33
Africa/Luanda,Luanda,Africa,2026-03-24 12:36:00,34
Africa/Lubumbashi,Lubumbashi,Africa,2026-03-24 12:36:00,35
Africa/Lusaka,Lusaka,Africa,2026-03-24 12:36:00,36
Africa/Malabo,Malabo,Africa,2026-03-24 12:36:00,37
Africa/Maputo,Maputo,Africa,2026-03-24 12:36:00,38
Africa/Maseru,Maseru,Africa,2026-03-24 12:36:00,39
Africa/Mbabane,Mbabane,Africa,2026-03-24 12:36:00,40
Africa/Mogadishu,Mogadishu,Africa,2026-03-24 12:36:00,41
Africa/Monrovia,Monrovia,Africa,2026-03-24 12:36:00,42
Africa/Nairobi,Nairobi,Africa,2026-03-24 12:36:00,43
Africa/Ndjamena,Ndjamena,Africa,2026-03-24 12:36:00,44
Africa/Niamey,Niamey,Africa,2026-03-24 12:36:00,45
Africa/Nouakchott,Nouakchott,Africa,2026-03-24 12:36:00,46
Africa/Ouagadougou,Ouagadougou,Africa,2026-03-24 12:36:00,47
Africa/Porto-Novo,Porto-Novo,Africa,2026-03-24 12:36:00,48
Africa/Sao_Tome,Sao Tome,Africa,2026-03-24 12:36:00,49
Africa/Tripoli,Tripoli,Africa,2026-03-24 12:36:00,50
Africa/Tunis,Tunis,Africa,2026-03-24 12:36:00,51
Africa/Windhoek,Windhoek,Africa,2026-03-24 12:36:00,52
America/Adak,Adak,America,2026-03-24 12:36:00,53
America/Anchorage,Anchorage,America,2026-03-24 12:36:00,54
America/Anguilla,Anguilla,America,2026-03-24 12:36:00,55
America/Antigua,Antigua,America,2026-03-24 12:36:00,56
America/Araguaina,Araguaina,America,2026-03-24 12:36:00,57
America/Argentina/Buenos_Aires,Argentina - Buenos Aires,America,2026-03-24 12:36:00,58
America/Argentina/Catamarca,Argentina - Catamarca,America,2026-03-24 12:36:00,59
America/Argentina/Cordoba,Argentina - Cordoba,America,2026-03-24 12:36:00,60
America/Argentina/Jujuy,Argentina - Jujuy,America,2026-03-24 12:36:00,61
America/Argentina/La_Rioja,Argentina - La Rioja,America,2026-03-24 12:36:00,62
America/Argentina/Mendoza,Argentina - Mendoza,America,2026-03-24 12:36:00,63
America/Argentina/Rio_Gallegos,Argentina - Rio Gallegos,America,2026-03-24 12:36:00,64
America/Argentina/Salta,Argentina - Salta,America,2026-03-24 12:36:00,65
America/Argentina/San_Juan,Argentina - San Juan,America,2026-03-24 12:36:00,66
America/Argentina/San_Luis,Argentina - San Luis,America,2026-03-24 12:36:00,67
America/Argentina/Tucuman,Argentina - Tucuman,America,2026-03-24 12:36:00,68
America/Argentina/Ushuaia,Argentina - Ushuaia,America,2026-03-24 12:36:00,69
America/Aruba,Aruba,America,2026-03-24 12:36:00,70
America/Asuncion,Asuncion,America,2026-03-24 12:36:00,71
America/Atikokan,Atikokan,America,2026-03-24 12:36:00,72
America/Bahia,Bahia,America,2026-03-24 12:36:00,73
America/Bahia_Banderas,Bahia Banderas,America,2026-03-24 12:36:00,74
America/Barbados,Barbados,America,2026-03-24 12:36:00,75
America/Belem,Belem,America,2026-03-24 12:36:00,76
America/Belize,Belize,America,2026-03-24 12:36:00,77
America/Blanc-Sablon,Blanc-Sablon,America,2026-03-24 12:36:00,78
America/Boa_Vista,Boa Vista,America,2026-03-24 12:36:00,79
America/Bogota,Bogota,America,2026-03-24 12:36:00,80
America/Boise,Boise,America,2026-03-24 12:36:00,81
America/Cambridge_Bay,Cambridge Bay,America,2026-03-24 12:36:00,82
America/Campo_Grande,Campo Grande,America,2026-03-24 12:36:00,83
America/Cancun,Cancun,America,2026-03-24 12:36:00,84
America/Caracas,Caracas,America,2026-03-24 12:36:00,85
America/Cayenne,Cayenne,America,2026-03-24 12:36:00,86
America/Cayman,Cayman,America,2026-03-24 12:36:00,87
America/Chicago,Chicago,America,2026-03-24 12:36:00,88
America/Chihuahua,Chihuahua,America,2026-03-24 12:36:00,89
America/Costa_Rica,Costa Rica,America,2026-03-24 12:36:00,90
America/Creston,Creston,America,2026-03-24 12:36:00,91
America/Cuiaba,Cuiaba,America,2026-03-24 12:36:00,92
America/Curacao,Curacao,America,2026-03-24 12:36:00,93
America/Danmarkshavn,Danmarkshavn,America,2026-03-24 12:36:00,94
America/Dawson,Dawson,America,2026-03-24 12:36:00,95
America/Dawson_Creek,Dawson Creek,America,2026-03-24 12:36:00,96
America/Denver,Denver,America,2026-03-24 12:36:00,97
America/Detroit,Detroit,America,2026-03-24 12:36:00,98
America/Dominica,Dominica,America,2026-03-24 12:36:00,99
America/Edmonton,Edmonton,America,2026-03-24 12:36:00,100
America/Eirunepe,Eirunepe,America,2026-03-24 12:36:00,101
America/El_Salvador,El Salvador,America,2026-03-24 12:36:00,102
America/Fortaleza,Fortaleza,America,2026-03-24 12:36:00,103
America/Fort_Nelson,Fort Nelson,America,2026-03-24 12:36:00,104
America/Glace_Bay,Glace Bay,America,2026-03-24 12:36:00,105
America/Godthab,Godthab,America,2026-03-24 12:36:00,106
America/Goose_Bay,Goose Bay,America,2026-03-24 12:36:00,107
America/Grand_Turk,Grand Turk,America,2026-03-24 12:36:00,108
America/Grenada,Grenada,America,2026-03-24 12:36:00,109
